City,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
mezen,65.85,49.15,94,100,6.6
luau,-10.71,73.53,69,100,6.17
vaini,-21.2,78.8,83,40,5.82
puro,12.48,80.53,79,54,1.61
mantua,45.17,54.0,85,21,1.99
qandala,11.47,85.32,62,1,1.03
ribeira grande,38.52,68.72,85,100,21.52
souillac,-20.52,73.4,83,75,10.29
geraldton,-28.77,50.0,87,0,10.29
hilo,19.73,84.2,66,20,9.17
kavieng,-2.57,82.0,74,84,6.91
atuona,-9.8,78.21,72,2,14.27
albany,42.6,75.99,75,57,7.07
rikitea,-23.12,73.44,83,14,11.99
mataura,-46.19,37.0,70,99,21.0
phanat nikhom,13.45,86.0,99,90,4.97
gujan-mestras,44.63,57.2,82,90,1.12
kodiak,57.79,51.8,66,90,9.17
yerbogachen,61.28,35.82,82,100,10.18
cape town,-33.93,51.8,76,20,2.24
castro,-24.79,65.37,91,77,2.98
rio claro,-22.41,82.99,46,98,5.64
saldanha,-33.01,48.2,81,0,3.36
svetlyy,54.67,42.8,93,68,2.24
isangel,-19.55,77.0,78,20,5.82
yulara,-25.24,66.2,93,75,4.7
ancud,-41.87,51.01,90,100,1.99
cayenne,4.93,82.4,78,99,6.93
usinsk,65.99,41.27,85,100,12.39
bluff,-46.6,37.0,70,99,21.0
panguna,-6.32,68.22,100,100,1.16
coihaique,-45.58,48.2,70,75,17.22
sinnamary,5.38,79.65,82,62,13.47
georgetown,5.41,77.0,94,20,2.24
hobart,-42.88,46.99,87,20,5.82
emerald,-23.53,64.99,68,90,6.93
iquitos,-3.75,91.4,59,40,6.93
ust-barguzin,53.45,40.75,82,64,4.61
busselton,-33.65,57.0,83,97,13.24
ushuaia,-54.8,35.6,69,75,17.22
port lincoln,-34.73,59.31,74,100,15.3
flinders,-34.58,59.0,76,43,1.01
hambantota,6.12,77.0,100,100,8.05
tasiilaq,65.61,33.8,80,100,3.36
alexandria,31.22,80.6,78,0,6.93
esperance,-33.87,51.8,100,90,6.93
port alfred,-33.59,56.44,66,1,12.53
mecca,21.43,85.51,34,0,4.72
panaba,21.28,92.28,52,42,9.46
yellowknife,62.46,55.4,62,20,14.99
chara,56.91,36.1,80,96,4.41
kodinar,20.79,77.27,83,100,8.28
santa cruz cabralia,-16.28,77.0,78,20,10.29
ilulissat,69.22,28.4,74,93,11.41
sotaquira,5.76,59.72,83,76,1.45
hithadhoo,-0.6,83.28,70,66,10.07
wladyslawowo,54.79,55.0,87,65,3.36
portland,45.52,82.99,39,1,3.36
rudbar,30.15,66.78,24,54,10.85
bonavista,48.65,62.44,85,75,16.75
warrensburg,38.76,64.4,45,75,14.99
dikson,73.51,39.09,94,100,24.63
champerico,14.3,87.8,70,40,16.11
tuatapere,-46.13,37.0,70,100,21.0
bundaberg,-24.85,62.6,77,8,8.05
shumskiy,54.83,37.04,83,35,2.42
new norfolk,-42.78,46.99,99,12,2.33
balaipungut,1.05,73.08,94,79,2.51
klaksvik,62.23,48.2,87,33,13.87
dabat,12.98,55.11,75,100,4.18
namatanai,-3.67,81.52,75,83,4.7
kapaa,22.08,84.99,70,90,8.05
nikolskoye,59.7,50.0,81,75,4.47
victoria,22.29,81.0,86,98,13.15
galveston,29.37,75.99,78,90,25.28
sibolga,1.74,76.6,74,100,3.38
port macquarie,-31.43,55.99,71,0,1.99
acajutla,13.59,89.6,49,20,3.36
lima,-12.04,66.2,68,90,11.41
severo-kurilsk,50.68,51.37,82,93,8.9
butaritari,3.07,82.26,70,63,12.66
khatanga,71.97,29.97,96,100,12.06
krasnoselkup,65.7,30.36,97,0,10.04
kaitangata,-46.28,33.01,86,100,11.01
