,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pennagaram,12.13,77.9,74.98,83,100,2.44,IN,1601315361
1,beringovskiy,63.05,179.32,37.56,74,87,6.58,RU,1601315361
2,castro,-24.79,-50.01,78.37,60,96,14.18,BR,1601315361
3,atuona,-9.8,-139.03,77.92,72,3,15.26,PF,1601315361
4,kolondieba,11.09,-6.89,82.99,64,66,1.86,ML,1601315361
5,shaunavon,49.65,-108.42,59.05,34,69,14.81,CA,1601315361
6,labuhan,-6.88,112.21,78.75,77,99,10.36,ID,1601315211
7,lengshuijiang,27.69,111.43,66.34,91,100,0.76,CN,1601315362
8,bredasdorp,-34.53,20.04,53.6,81,0,11.41,ZA,1601315362
9,kapoeta,4.77,33.59,84.49,47,83,2.77,SS,1601315362
10,eskilstuna,59.37,16.51,55.4,87,75,10.29,SE,1601315200
11,punta arenas,-53.15,-70.92,42.8,48,40,20.8,CL,1601315363
12,vao,-22.67,167.48,67.44,89,100,23.29,NC,1601315125
13,kapaa,22.08,-159.32,78.8,83,75,10.29,US,1601315363
14,kruisfontein,-34.0,24.73,55.99,67,0,3.0,ZA,1601315363
15,busselton,-33.65,115.33,54.0,80,75,12.44,AU,1601315364
16,vanimo,-2.67,141.3,77.45,82,92,4.61,PG,1601315364
17,doha,25.29,51.53,93.2,75,0,9.17,QA,1601315321
18,vaini,-21.2,-175.2,71.6,94,20,3.36,TO,1601315092
19,albany,42.6,-73.97,78.01,76,94,11.48,US,1601315364
20,mitsamiouli,-11.38,43.28,77.14,76,25,10.74,KM,1601315364
21,ushuaia,-54.8,-68.3,37.4,64,75,11.41,AR,1601315143
22,kjollefjord,70.95,27.35,44.6,87,20,4.7,NO,1601315364
23,ahipara,-35.17,173.17,56.43,76,20,17.18,NZ,1601315365
24,bandarbeyla,9.49,50.81,77.63,82,0,20.36,SO,1601315365
25,nanortalik,60.14,-45.24,36.64,74,0,15.32,GL,1601315365
26,hasaki,35.73,140.83,64.0,93,20,5.82,JP,1601315365
27,ballina,-28.87,153.57,57.2,82,75,7.2,AU,1601315365
28,turan,16.07,108.22,82.4,83,20,2.24,VN,1601315237
29,ancud,-41.87,-73.82,48.76,95,100,16.17,CL,1601315366
30,hermanus,-34.42,19.23,54.0,90,11,10.54,ZA,1601315366
31,bambous virieux,-20.34,57.76,73.4,83,75,6.93,MU,1601315233
32,saint-philippe,-21.36,55.77,73.4,78,40,3.36,RE,1601315366
33,cape town,-33.93,18.42,55.99,82,40,6.93,ZA,1601315157
34,martinsburg,39.46,-77.96,84.0,54,1,4.7,US,1601315359
35,nikolskoye,59.7,30.79,54.0,76,40,6.71,RU,1601315367
36,marzuq,14.4,46.47,79.95,55,88,6.67,YE,1601315367
37,chuy,-33.7,-53.46,64.06,58,13,12.08,UY,1601315136
38,phan thiet,10.93,108.1,77.14,88,100,7.58,VN,1601315367
39,mar del plata,-38.0,-57.56,59.0,58,20,13.87,AR,1601315367
40,palana,59.12,159.97,39.45,73,100,4.12,RU,1601315367
41,new norfolk,-42.78,147.06,46.99,88,31,1.72,AU,1601315234
42,ribeira grande,38.52,-28.7,73.4,78,40,11.41,PT,1601315368
43,severka,56.87,60.3,46.4,100,29,1.74,RU,1601315368
44,ponta do sol,32.67,-17.1,73.99,69,40,12.75,PT,1601315368
45,aklavik,68.22,-135.01,37.4,100,90,9.17,CA,1601315368
46,tuktoyaktuk,69.45,-133.04,35.6,100,90,8.05,CA,1601315085
47,dikson,73.51,80.55,37.24,95,100,26.08,RU,1601315368
48,san patricio,19.22,-104.7,91.4,75,20,9.17,MX,1601315142
